ID,Airport,Country,Centrality,Closeness,Eigenvector,Betweenness,International
21,Sault Ste Marie,Canada,2,0.23184587839848572,0.007419811650577165,0.0,False
24,St Anthony,Canada,2,0.2273146885926521,0.007675577049603238,0.0035302292934802247,False
27,Baie Comeau,Canada,2,0.22487307002559892,0.0063238525924849374,0.0,False
28,Bagotville,Canada,3,0.26635728777841294,0.02351842504487697,0.004413504575291638,False
29,Baker Lake,Canada,4,0.2328774507161653,0.005315257611108214,0.0018287525595118022,False
30,Campbell River,Canada,2,0.2525414091602323,0.027210765454258667,0.0,False
32,Cambridge Bay,Canada,5,0.21945160188032767,0.0036792705706072794,0.008082558157603965,False
37,Kugluktuk,Canada,3,0.21968187638387474,0.00310274662761802,0.007937633472700331,False
40,Clyde River,Canada,2,0.21830743294455954,0.0020744054819008652,0.00372887512561569,False
41,Fairmont Hot Springs,Canada,4,0.2215416171363308,0.002793969251658092,0.003328323508765673,False
42,Dawson City,Canada,3,0.21740065233004424,0.006202568489927931,0.03443029207048988,False
45,Deer Lake,Canada,4,0.27331178615382845,0.03630639690303983,0.013796787873174272,False
48,Dawson Creek,Canada,2,0.2531521501739209,0.023225630363539904,0.0002792731809144425,False
49,Edmonton Intl,Canada,23,0.34661726522157715,0.2220059347227579,0.1729524620572999,True
50,Arviat,Canada,3,0.21899249811070357,0.004200214501778225,0.0,False
54,Inuvik Mike Zubko,Canada,9,0.18895020595111245,0.0010213164627672123,0.03660340513840092,False
55,Iqaluit,Canada,8,0.2813935862820331,0.022423107717637756,0.07857911406733835,False
58,Flin Flon,Canada,2,0.2504268279830533,0.015000290926497132,0.0,False
60,Fort Simpson,Canada,1,0.21672549502467142,0.002734617961592147,0.0,False
62,La Grande Riviere,Canada,5,0.26875074222571577,0.022817682563976427,0.028934035996412213,False
65,Iles De La Madeleine,Canada,2,0.22272002999343896,0.005832835662461267,0.0,False
67,Dryden Rgnl,Canada,4,0.23158941171884137,0.008594852936956497,0.0012685850918278507,False
68,Ulukhaktok Holman,Canada,2,0.182049415820724,0.0003745101739987396,0.000753706808051668,False
69,Gjoa Haven,Canada,3,0.21785309905705788,0.003375245729269936,0.0,False
70,Hamilton,Canada,1,0.2531521501739209,0.02491616731173425,0.0,False
71,St Hubert,Canada,5,0.22633170615549472,0.009515017215836356,0.017309637979397444,False
72,Hay River,Canada,3,0.26500864328333246,0.025255561253051444,0.0,False
73,Halifax Intl,Canada,7,0.3051848807490271,0.14157430844527616,0.0024069290160642852,True
75,Pond Inlet,Canada,2,0.17955131062935903,0.00042053137378191436,3.2487362416020164e-05,False
77,Stephenville,Canada,2,0.22560003038128515,0.010788986144541676,0.0,False
78,Kamloops,Canada,3,0.25500222678907747,0.03864791758736501,0.00012211556943907842,False
79,Waterloo,Canada,2,0.2646736133929615,0.042062549515043436,0.0,False
80,Schefferville,Canada,4,0.24259192142970173,0.012889801067746646,0.005404724077485372,False
85,Lloydminster,Canada,1,0.2531521501739209,0.02491616731173425,0.0,False
87,Kelowna,Canada,7,0.28679017560798986,0.10925100535354836,0.0022513151330891762,False
90,Fort Mcmurray,Canada,4,0.28026349155800884,0.07244363165891891,0.006103495545427639,False
91,Moosonee,Canada,2,0.17893745999472874,0.0002463645340748009,0.03337101867373592,False
94,Natashquan,Canada,2,0.213629416524319,0.003262151011811077,0.0,False
97,Old Crow,Canada,2,0.18189124951679636,0.0006559971679665574,0.0,False
98,Cold Lake,Canada,1,0.2531521501739209,0.02491616731173425,0.0,False
99,High Level,Canada,2,0.25531320511443,0.022173475930302784,0.0,False
100,Ottawa Macdonald Cartier Intl,Canada,15,0.34433688847669836,0.1888206830416637,0.11722630436984646,True
105,Pickle Lake,Canada,3,0.19015152424507958,0.0017495026196098784,0.0,False
108,Prince Rupert,Canada,2,0.2525414091602323,0.02366081266848608,0.0,False
109,Fort Chipewyan,Canada,2,0.22463178990754573,0.008939466963047472,1.94924174496121e-05,False
111,Quebec Jean Lesage Intl,Canada,10,0.28916688977048705,0.05839979933095082,0.05302922393115249,False
115,Kenora,Canada,3,0.25469200510198614,0.014975638345699743,0.0026286377925987415,False
117,Greater Moncton Intl,Canada,2,0.27295544744958616,0.043702135352389905,0.0,False
119,Comox,Canada,4,0.26669659642526444,0.068534340772961,0.0006828766228984541,False
120,Regina Intl,Canada,3,0.27951512442434256,0.07163184803886474,0.0,False
121,Thunder Bay,Canada,12,0.29486877210398954,0.05257179628149433,0.141336701825391,False
122,Grande Prairie,Canada,2,0.26104342667560176,0.045076094889784035,0.0,False
127,Quesnel,Canada,2,0.2525414091602323,0.023083448077868267,0.0,False
128,Resolute Bay,Canada,3,0.1904975688751889,0.0005491671337412382,0.009423980500156864,False
130,Roberval,Canada,2,0.18348538842579545,0.0009503481007572584,0.0,False
132,Rankin Inlet,Canada,10,0.281772312508523,0.022264060333675187,0.0635421105493361,False
133,Sudbury,Canada,6,0.27692702142041353,0.02913656354773101,0.062298827734177144,False
136,Fort Smith,Canada,4,0.2653445224256433,0.02599976397157991,0.0023172287928047946,False
139,Sachs Harbour,Canada,1,0.15800515335383594,9.27471304220637e-05,0.0,False
140,Cape Dorset,Canada,3,0.22177630105278878,0.002349181852501326,0.010678530525663569,False
141,Thompson,Canada,3,0.2513287253227282,0.016950464749125583,0.0,False
143,Timmins,Canada,3,0.21785309905705788,0.002690414626248304,0.04978363416630931,False
144,City Centre,Canada,5,0.29158332617525434,0.04956387605821252,0.022105465236825605,False
145,Tuktoyaktuk,Canada,1,0.15800515335383594,9.27471304220637e-05,0.0,False
